"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"1","Car, truck, or van","Master's degree",30,19000,2300,"03603"
"2","Car, truck, or van","Associate's degree",90,36500,2100,"00100"
"3","Car, truck, or van","Master's degree",45,130000,1700,"03306"
"4","Car, truck, or van","Regular high school diploma",15,130000,1700,"03306"
"5","Car, truck, or van","Master's degree",45,65000,1600,"04901"
"6","Car, truck, or van","Associate's degree",45,65000,1600,"04901"
"7","Car, truck, or van","Master's degree",30,230000,1500,"03500"
"8","Car, truck, or van","Master's degree",25,230000,1500,"03500"
"9","Subway or elevated","Bachelor's degree",30,160000,2700,"03303"
"10","Car, truck, or van","Master's degree",1,160000,2700,"03303"
"11","Subway or elevated","Bachelor's degree",20,160000,2700,"03303"
"12","Car, truck, or van","1 or more years of college credit, no degree",15,92000,800,"00100"
"13","Car, truck, or van","1 or more years of college credit, no degree",8,2e+05,1800,"03302"
"14","Car, truck, or van","Master's degree",10,164800,3300,"04800"
"15","Car, truck, or van","Grade 11",20,164800,3300,"04800"
"16","Car, truck, or van","Regular high school diploma",50,90700,400,"02400"
"17","Car, truck, or van","GED or alternative credential",15,98400,700,"03601"
"18","Car, truck, or van","Some college, but less than 1 year",7,65000,970,"01901"
"19","Walked","Master's degree",20,71000,1900,"03301"
"20","Subway or elevated","Bachelor's degree",50,71000,1900,"03301"
"21","Car, truck, or van","Associate's degree",30,135100,1900,"00302"
"22","Car, truck, or van","GED or alternative credential",5,135100,1900,"00302"
"23","Car, truck, or van","GED or alternative credential",30,91000,800,"01902"
"24","Car, truck, or van","Regular high school diploma",25,91000,800,"01902"
"25","Car, truck, or van","Bachelor's degree",25,156000,920,"03304"
"26","Car, truck, or van","Regular high school diploma",30,156000,920,"03304"
"27","Car, truck, or van","Bachelor's degree",18,54200,280,"00200"
"28","Car, truck, or van","Bachelor's degree",15,54200,280,"00200"
"29","Car, truck, or van","Bachelor's degree",30,54200,280,"00200"
"30","Car, truck, or van","Bachelor's degree",25,544200,3200,"03601"
"31","Car, truck, or van","Bachelor's degree",5,544200,3200,"03601"
"32","Railroad","Bachelor's degree",100,354000,5000,"00702"
"33","Subway or elevated","Bachelor's degree",70,150500,2000,"04901"
"34","Car, truck, or van","Bachelor's degree",40,150500,2000,"04901"
"35","Car, truck, or van","Regular high school diploma",15,150500,2000,"04901"
"36","Bus or trolley bus","Regular high school diploma",90,62000,1500,"03306"
"37","Subway or elevated","Some college, but less than 1 year",20,125600,1500,"00507"
"38","Subway or elevated","GED or alternative credential",60,125600,1500,"00507"
"39","Subway or elevated","Bachelor's degree",40,125600,1500,"00507"
"40","Car, truck, or van","Master's degree",25,135000,400,"00200"
"41","Car, truck, or van","Master's degree",20,135000,400,"00200"
"42","Car, truck, or van","Grade 11",20,135000,400,"00200"
"43","Car, truck, or van","Bachelor's degree",5,126000,1900,"03400"
"44","Car, truck, or van","Master's degree",45,126000,1900,"03400"
"45","Car, truck, or van","1 or more years of college credit, no degree",20,61000,1300,"04000"
"46","Car, truck, or van","Grade 11",15,61000,1300,"04000"
"47","Car, truck, or van","Bachelor's degree",20,165000,3500,"03400"
"48","Car, truck, or van","Bachelor's degree",45,165000,3500,"03400"
"49","Car, truck, or van","1 or more years of college credit, no degree",9,198000,2900,"03603"
"50","Subway or elevated","1 or more years of college credit, no degree",65,198000,2900,"03603"
"51","Car, truck, or van","Some college, but less than 1 year",30,129000,2700,"04303"
"52","Car, truck, or van","Professional degree beyond a bachelor's degree",20,129000,2700,"04303"
"53","Car, truck, or van","Associate's degree",10,22000,620,"04302"
"54","Car, truck, or van","Associate's degree",10,35400,650,"04500"
"55","Car, truck, or van","Regular high school diploma",50,99800,1100,"00200"
"56","Car, truck, or van","Associate's degree",45,99800,1100,"00200"
"57","Car, truck, or van","1 or more years of college credit, no degree",10,60000,410,"00701"
"58","Car, truck, or van","Bachelor's degree",10,65000,680,"00300"
"59","Car, truck, or van","Bachelor's degree",60,225000,970,"04303"
"60","Car, truck, or van","Bachelor's degree",20,225000,970,"04303"
"61","Car, truck, or van","1 or more years of college credit, no degree",20,1e+05,980,"00701"
"62","Car, truck, or van","1 or more years of college credit, no degree",45,1e+05,980,"00701"
"63","Car, truck, or van","Bachelor's degree",35,203300,1200,"00100"
"64","Car, truck, or van","Master's degree",45,203300,1200,"00100"
